[0.2, 0.38, -0.9, -0.74][False, True, False, False]7
[0.22000000000000003, 0.36, -0.9, -0.78][False, True, False, False]7
[0.34, 0.36, -0.9, -0.7][True, True, False, False]10
[0.3, 0.28, -0.9, -0.58][True, False, False, True]10
[0.32, 0.33999999999999997, -0.9, -0.6199999999999999][True, True, False, False]10
[0.27999999999999997, 0.4, -0.9, -0.58][False, True, False, True]14
[0.34, 0.27999999999999997, -0.9, -0.58][True, False, False, True]10
[0.36000000000000004, 0.36, -0.78, -0.6599999999999999][True, True, True, False]13
[0.38, 0.32, -0.9, -0.7][True, True, False, False]10
[0.27999999999999997, 0.36, -0.9, -0.58][False, True, False, True]14
[0.33999999999999997, 0.32000000000000006, -0.86, -0.74][True, True, False, False]10
[0.32, 0.31999999999999995, -0.9, -0.78][True, True, False, False]10
[0.44000000000000006, 0.36, -0.9, -0.6199999999999999][True, True, False, False]10
[0.28, 0.27999999999999997, -0.9, -0.7][False, False, False, False]0
[0.36, 0.4, -0.9, -0.6199999999999999][True, True, False, False]10
[0.34, 0.28, -0.9, -0.7][True, False, False, False]3
[0.44000000000000006, 0.32, -0.9, -0.7][True, True, False, False]10
[0.36, 0.36, -0.9, -0.7][True, True, False, False]10
[0.38, 0.31999999999999995, -0.86, -0.7][True, True, False, False]10
[0.32, 0.34, -0.9, -0.6599999999999999][True, True, False, False]10
[0.24, 0.2800000000000001, -0.86, -0.6199999999999999][False, False, False, False]0
[0.32, 0.38, -0.9, -0.82][True, True, False, False]10
[0.33999999999999997, 0.4, -0.9, -0.7399999999999999][True, True, False, False]10
[0.34, 0.36, -0.9, -0.7][True, True, False, False]10
[0.24000000000000005, 0.4, -0.9, -0.7][False, True, False, False]7
[0.38, 0.42000000000000004, -0.9, -0.6199999999999999][True, True, False, False]10
[0.42000000000000004, 0.3, -0.9, -0.6599999999999999][True, True, False, False]10
[0.33999999999999997, 0.34, -0.9, -0.6199999999999999][True, True, False, False]10
[0.3, 0.34, -0.9, -0.82][True, True, False, False]10
[0.27999999999999997, 0.36, -0.9, -0.7][False, True, False, False]7
[0.32, 0.34, -0.9, -0.78][True, True, False, False]10
[0.34, 0.36000000000000004, -0.9, -0.74][True, True, False, False]10
[0.30000000000000004, 0.36000000000000004, -0.9, -0.6199999999999999][True, True, False, False]10
[0.32, 0.36, -0.8200000000000001, -0.7][True, True, True, False]13
[0.36, 0.4, -0.9, -0.7][True, True, False, False]10
[0.3, 0.3, -0.9, -0.6599999999999999][True, True, False, False]10
[0.32, 0.4, -0.9, -0.6599999999999999][True, True, False, False]10
[0.32, 0.36, -0.9, -0.6599999999999999][True, True, False, False]10
[0.4, 0.3, -0.9, -0.58][True, True, False, True]17
[0.32, 0.30000000000000004, -0.9, -0.6599999999999999][True, True, False, False]10
[0.28, 0.34, -0.9, -0.6199999999999999][False, True, False, False]7
[0.24, 0.34, -0.9, -0.58][False, True, False, True]14
[0.36, 0.4, -0.9, -0.58][True, True, False, True]17
[0.26000000000000006, 0.32, -0.9, -0.6199999999999999][False, True, False, False]7
[0.28, 0.30000000000000004, -0.9, -0.78][False, True, False, False]7
[0.28, 0.36, -0.9, -0.6199999999999999][False, True, False, False]7
[0.32, 0.38, -0.78, -0.7][True, True, True, False]13
[0.36, 0.38, -0.9, -0.5][True, True, False, True]17
[0.25999999999999995, 0.28, -0.9, -0.6199999999999999][False, False, False, False]0
